# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 256(KiB) Throughput: 1.329157 GiB/sec, Avg_Latency: 183.677574 usecs ops: 131072 total_time 24.075415 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 512(KiB) Throughput: 1.625322 GiB/sec, Avg_Latency: 300.414871 usecs ops: 65536 total_time 19.688408 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 1024(KiB) Throughput: 2.879756 GiB/sec, Avg_Latency: 339.098602 usecs ops: 32768 total_time 11.112051 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 2048(KiB) Throughput: 3.869772 GiB/sec, Avg_Latency: 504.663208 usecs ops: 16384 total_time 8.269220 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 4096(KiB) Throughput: 4.863783 GiB/sec, Avg_Latency: 801.172485 usecs ops: 8192 total_time 6.579241 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 8192(KiB) Throughput: 7.491629 GiB/sec, Avg_Latency: 1042.192383 usecs ops: 4096 total_time 4.271434 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 16384(KiB) Throughput: 10.696299 GiB/sec, Avg_Latency: 1454.068848 usecs ops: 2048 total_time 2.991689 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 32844544/33554432(KiB) IOSize: 256(KiB) Throughput: 2.417135 GiB/sec, Avg_Latency: 202.098262 usecs ops: 128299 total_time 12.958729 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33247232/33554432(KiB) IOSize: 512(KiB) Throughput: 3.093809 GiB/sec, Avg_Latency: 315.666639 usecs ops: 64936 total_time 10.248543 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33259520/33554432(KiB) IOSize: 1024(KiB) Throughput: 5.304197 GiB/sec, Avg_Latency: 368.223733 usecs ops: 32480 total_time 5.979934 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33357824/33554432(KiB) IOSize: 2048(KiB) Throughput: 6.857756 GiB/sec, Avg_Latency: 569.186595 usecs ops: 16288 total_time 4.638908 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33488896/33554432(KiB) IOSize: 4096(KiB) Throughput: 9.397647 GiB/sec, Avg_Latency: 831.028290 usecs ops: 8176 total_time 3.398457 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33284096/33554432(KiB) IOSize: 8192(KiB) Throughput: 12.601842 GiB/sec, Avg_Latency: 1239.316698 usecs ops: 4063 total_time 2.518853 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33488896/33554432(KiB) IOSize: 16384(KiB) Throughput: 14.109942 GiB/sec, Avg_Latency: 2202.760936 usecs ops: 2044 total_time 2.263475 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32722944/33554432(KiB) IOSize: 256(KiB) Throughput: 4.516833 GiB/sec, Avg_Latency: 216.265297 usecs ops: 127824 total_time 6.909051 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32950272/33554432(KiB) IOSize: 512(KiB) Throughput: 5.780615 GiB/sec, Avg_Latency: 337.749260 usecs ops: 64356 total_time 5.436070 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32784384/33554432(KiB) IOSize: 1024(KiB) Throughput: 9.102469 GiB/sec, Avg_Latency: 428.415415 usecs ops: 32016 total_time 3.434851 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32546816/33554432(KiB) IOSize: 2048(KiB) Throughput: 11.600456 GiB/sec, Avg_Latency: 672.538456 usecs ops: 15892 total_time 2.675676 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32350208/33554432(KiB) IOSize: 4096(KiB) Throughput: 14.123671 GiB/sec, Avg_Latency: 1102.711093 usecs ops: 7898 total_time 2.184387 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 33218560/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.595770 GiB/sec, Avg_Latency: 1773.866796 usecs ops: 4055 total_time 1.800415 secs
IoType: READ XferType: GPUD Threads: 4 DataSetSize: 32768000/33554432(KiB) IOSize: 16384(KiB) Throughput: 17.212320 GiB/sec, Avg_Latency: 3618.140653 usecs ops: 2000 total_time 1.815560 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32130560/33554432(KiB) IOSize: 256(KiB) Throughput: 7.837080 GiB/sec, Avg_Latency: 249.360635 usecs ops: 125510 total_time 3.909886 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32787456/33554432(KiB) IOSize: 512(KiB) Throughput: 10.066559 GiB/sec, Avg_Latency: 388.141846 usecs ops: 64038 total_time 3.106181 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32829440/33554432(KiB) IOSize: 1024(KiB) Throughput: 14.287035 GiB/sec, Avg_Latency: 546.753098 usecs ops: 32060 total_time 2.191399 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 33024000/33554432(KiB) IOSize: 2048(KiB) Throughput: 17.155774 GiB/sec, Avg_Latency: 910.357996 usecs ops: 16125 total_time 1.835775 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32968704/33554432(KiB) IOSize: 4096(KiB) Throughput: 18.445922 GiB/sec, Avg_Latency: 1692.149282 usecs ops: 8049 total_time 1.704518 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32604160/33554432(KiB) IOSize: 8192(KiB) Throughput: 18.174626 GiB/sec, Avg_Latency: 3432.956882 usecs ops: 3980 total_time 1.710833 secs
IoType: READ XferType: GPUD Threads: 8 DataSetSize: 32555008/33554432(KiB) IOSize: 16384(KiB) Throughput: 18.199715 GiB/sec, Avg_Latency: 6843.257987 usecs ops: 1987 total_time 1.705899 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32233216/33554432(KiB) IOSize: 256(KiB) Throughput: 12.724438 GiB/sec, Avg_Latency: 307.119910 usecs ops: 125911 total_time 2.415823 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32703488/33554432(KiB) IOSize: 512(KiB) Throughput: 14.926101 GiB/sec, Avg_Latency: 523.412072 usecs ops: 63874 total_time 2.089526 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 33065984/33554432(KiB) IOSize: 1024(KiB) Throughput: 18.550052 GiB/sec, Avg_Latency: 841.924226 usecs ops: 32291 total_time 1.699951 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32602112/33554432(KiB) IOSize: 2048(KiB) Throughput: 18.472156 GiB/sec, Avg_Latency: 1690.502245 usecs ops: 15919 total_time 1.683171 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32256000/33554432(KiB) IOSize: 4096(KiB) Throughput: 17.902071 GiB/sec, Avg_Latency: 3469.445432 usecs ops: 7875 total_time 1.718333 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32538624/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.990862 GiB/sec, Avg_Latency: 6918.471599 usecs ops: 3972 total_time 1.724834 secs
IoType: READ XferType: GPUD Threads: 16 DataSetSize: 32735232/33554432(KiB) IOSize: 16384(KiB) Throughput: 18.201750 GiB/sec, Avg_Latency: 13639.207315 usecs ops: 1998 total_time 1.715151 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32360192/33554432(KiB) IOSize: 256(KiB) Throughput: 13.801860 GiB/sec, Avg_Latency: 566.104761 usecs ops: 126407 total_time 2.236009 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32208384/33554432(KiB) IOSize: 512(KiB) Throughput: 14.250651 GiB/sec, Avg_Latency: 1097.037719 usecs ops: 62907 total_time 2.155432 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 31893504/33554432(KiB) IOSize: 1024(KiB) Throughput: 17.286375 GiB/sec, Avg_Latency: 1808.225382 usecs ops: 31146 total_time 1.759537 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 31926272/33554432(KiB) IOSize: 2048(KiB) Throughput: 17.478971 GiB/sec, Avg_Latency: 3571.035826 usecs ops: 15589 total_time 1.741937 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 32538624/33554432(KiB) IOSize: 4096(KiB) Throughput: 17.594753 GiB/sec, Avg_Latency: 7082.083826 usecs ops: 7944 total_time 1.763665 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 33071104/33554432(KiB) IOSize: 8192(KiB) Throughput: 17.912635 GiB/sec, Avg_Latency: 13882.454440 usecs ops: 4037 total_time 1.760716 secs
IoType: READ XferType: GPUD Threads: 32 DataSetSize: 26902528/33554432(KiB) IOSize: 16384(KiB) Throughput: 17.937219 GiB/sec, Avg_Latency: 28384.631411 usecs ops: 1642 total_time 1.430336 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 256(KiB) Throughput: 0.379914 GiB/sec, Avg_Latency: 642.163048 usecs ops: 131072 total_time 84.229602 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 512(KiB) Throughput: 0.649599 GiB/sec, Avg_Latency: 751.393692 usecs ops: 65536 total_time 49.261126 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 1024(KiB) Throughput: 1.247423 GiB/sec, Avg_Latency: 781.262115 usecs ops: 32768 total_time 25.652888 secs
IoType: READ XferType: ASYNC Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 2048(KiB) Throughput: 1.634454 GiB/sec, Avg_Latency: 1191.652405 usecs ops: 16384 total_time 19.578399 secs
