# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32541 32 1 gres:gpu:1
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 64(KiB) Throughput: 0.566614 GiB/sec, Avg_Latency: 107.718601 usecs ops: 524288 total_time 56.475816 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 128(KiB) Throughput: 0.933298 GiB/sec, Avg_Latency: 130.783394 usecs ops: 262144 total_time 34.287016 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 256(KiB) Throughput: 1.326265 GiB/sec, Avg_Latency: 184.079170 usecs ops: 131072 total_time 24.127911 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 512(KiB) Throughput: 1.627215 GiB/sec, Avg_Latency: 300.054611 usecs ops: 65536 total_time 19.665497 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 1024(KiB) Throughput: 2.868273 GiB/sec, Avg_Latency: 340.284851 usecs ops: 32768 total_time 11.156540 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 2048(KiB) Throughput: 3.865664 GiB/sec, Avg_Latency: 505.205200 usecs ops: 16384 total_time 8.278009 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 4096(KiB) Throughput: 4.817362 GiB/sec, Avg_Latency: 810.703491 usecs ops: 8192 total_time 6.642640 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 8192(KiB) Throughput: 7.433172 GiB/sec, Avg_Latency: 1050.352051 usecs ops: 4096 total_time 4.305026 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 16384(KiB) Throughput: 10.885228 GiB/sec, Avg_Latency: 1434.514160 usecs ops: 2048 total_time 2.939764 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 32768(KiB) Throughput: 10.953184 GiB/sec, Avg_Latency: 2849.396484 usecs ops: 1024 total_time 2.921525 secs
IoType: READ XferType: GPUD Threads: 1 DataSetSize: 33554432/33554432(KiB) IOSize: 65536(KiB) Throughput: 10.752103 GiB/sec, Avg_Latency: 5799.082031 usecs ops: 512 total_time 2.976162 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 32530944/33554432(KiB) IOSize: 64(KiB) Throughput: 1.072168 GiB/sec, Avg_Latency: 113.938569 usecs ops: 508296 total_time 28.935695 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 32294784/33554432(KiB) IOSize: 128(KiB) Throughput: 1.754659 GiB/sec, Avg_Latency: 139.345280 usecs ops: 252303 total_time 17.552531 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 32805376/33554432(KiB) IOSize: 256(KiB) Throughput: 2.454151 GiB/sec, Avg_Latency: 198.966185 usecs ops: 128146 total_time 12.748053 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33210368/33554432(KiB) IOSize: 512(KiB) Throughput: 3.087523 GiB/sec, Avg_Latency: 316.206752 usecs ops: 64864 total_time 10.258022 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 33254400/33554432(KiB) IOSize: 1024(KiB) Throughput: 5.308318 GiB/sec, Avg_Latency: 367.937222 usecs ops: 32475 total_time 5.974372 secs
IoType: READ XferType: GPUD Threads: 2 DataSetSize: 32751616/33554432(KiB) IOSize: 2048(KiB) Throughput: 7.017748 GiB/sec, Avg_Latency: 556.865243 usecs ops: 15992 total_time 4.450769 secs
