strategy,compress,prune,time_ms,bw
# Press enter to start measurement SSD
# Result parallel 4468236714181
SSD,true,true,58.35,30.64
# Press enter to start measurement SSD
# Result parallel 4468236714181
SSD,true,false,229.56,7.79
# Press enter to start measurement SSD
# Result parallel 4468236714181
SSD,false,true,26.98,66.26
# Press enter to start measurement SSD
# Result parallel 4468236714181
SSD,false,false,175.01,10.22
# Press enter to start measurement in-memory measurement
# IN-MEMORY result parallel 4468236714181
InMemory,false,true,9.17,194.88
# Press enter to start measurement in-memory measurement
# IN-MEMORY result parallel 4468236714181
InMemory,false,false,53.03,33.71
