# Allocating 8000 MB GPU Cache and 6000 MB GPU Processing Region
query,time_ms,cpu2gputraffic,gpu2cputraffic,malloc_time,exec_time,merging_time
query1.1,253.999,0,24,0.008416,252.856,0.004544
query1.2,323.283,0,24,0.008416,319.759,0.004896
query1.3,342.733,0,24,0.008384,341.525,0.008416
query2.1,642.547,0,168000,0.00848,641.051,0.024608
query2.2,571.221,0,168000,0.009408,568.372,0.023744
query2.3,551.28,0,168000,0.008352,549.856,0.0216
query3.1,1003.04,0,105000,0.00944,999.518,0.036192
query3.2,536.101,0,10500000,0.009184,534.035,0.555616
query3.3,357.874,0,10500000,0.008384,354.367,0.676096
query3.4,356.168,0,10500000,0.009184,353.882,0.53328
query4.1,1139.51,0,4200,0.009408,1137.82,0.009632
query4.2,1063.82,0,105000,0.008384,1062.19,0.023264
query4.3,596.164,0,42000000,0.009152,590.065,2.52755
query1.1,243.677,0,24,0.00816,242.362,0.00464
query1.2,320.422,0,24,0.00944,319.118,0.004672
query1.3,342.09,0,24,0.008384,340.811,0.005024
query2.1,657.655,0,168000,0.009728,656.175,0.023456
query2.2,584.114,0,168000,0.009408,582.438,0.021952
query2.3,566.899,0,168000,0.008416,565.198,0.024
query3.1,994.022,0,105000,0.00944,992.452,0.023584
query3.2,539.75,0,10500000,0.008416,535.26,0.5424
query3.3,354.9,0,10500000,0.00944,352.803,0.518624
query3.4,357.391,0,10500000,0.009408,354.592,0.539552
query4.1,1131.59,0,4200,0.008128,1129.33,0.008672
query4.2,1064.88,0,105000,0.009408,1063.21,0.024448
query4.3,595.891,0,42000000,0.00816,589.436,3.04704
query1.1,241.785,0,24,0.00816,237.647,0.00496
query1.2,321.533,0,24,0.008416,320.111,0.004192
query1.3,342.701,0,24,0.008352,341.439,0.005056
query2.1,652.969,0,168000,0.008384,648.505,0.019424
query2.2,584.364,0,168000,0.009408,582.606,0.020384
query2.3,562.746,0,168000,0.008416,561.259,0.021376
query3.1,997.687,0,105000,0.008416,996.064,0.024416
query3.2,537.475,0,10500000,0.009408,535.309,0.525952
query3.3,354.897,0,10500000,0.009408,352.76,0.52896
query3.4,356.153,0,10500000,0.009696,353.162,0.530752
query4.1,1134.41,0,4200,0.009408,1132.71,0.008864
query4.2,1069.94,0,105000,0.008416,1067.06,0.02656
query4.3,595.577,0,42000000,0.008192,591.374,2.5473
