query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_ssb --repeat=5 --dbpath=/raid/gds/ssb/parquet200/snappy_pre_aggr/ --query=query2.1_pre_aggr,query2.2_pre_aggr --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456792706,2794303488,1102.35
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456974007,2789654528,913.831
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456792730,2789163008,922.016
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456974007,2789163008,879.007
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456792734,2789163008,907.947
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456974013,2789163008,877.476
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456792738,2789163008,895.818
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456974015,2789163008,878.331
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456792738,2789163008,904.258
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,SNAPPY,274877906944,64,0,2456974015,2789163008,857.489
# ../../../bin/duckdb_ssb --repeat=5 --dbpath=/raid/gds/ssb/parquet200/uncompressed_pre_aggr/ --query=query2.1_pre_aggr,query2.2_pre_aggr --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094160140,4772040704,943.092
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094288333,4769665024,931.655
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094160166,4772098048,928.89
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094288337,4772044800,929.243
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094160172,4771217408,919.757
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094288339,4768899072,929.401
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094160174,4772044800,950.726
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094288341,4772098048,885.658
#[INFO ] Res size 84
query2.1_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094160174,4768899072,909.305
#[INFO ] Res size 84
query2.2_pre_aggr,200,1,UNCOMPRESSED,274877906944,64,0,4094288341,4768899072,898.11
#DONE
