query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../bin/duckdb_ssb --repeat=5 --dbpath=/raid/gds/parquet200/snappy/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 1
query1.1,200,1,SNAPPY,137438953472,32,0,11171455924,15922184192,6690.5
#[INFO ] Res size 1
query1.2,200,1,SNAPPY,137438953472,32,0,11171456239,15922184192,7977.69
#[INFO ] Res size 1
query1.3,200,1,SNAPPY,137438953472,32,0,11171456754,15922180096,7101.54
#[INFO ] Res size 280
query2.1,200,1,SNAPPY,137438953472,32,0,18394695318,28796493824,16283
#[INFO ] Res size 56
query2.2,200,1,SNAPPY,137438953472,32,0,18392729782,28793516032,14091
#[INFO ] Res size 7
query2.3,200,1,SNAPPY,137438953472,32,0,18392729784,28793516032,9295.54
#[INFO ] Res size 150
query3.1,200,1,SNAPPY,137438953472,32,0,14839140958,28846006272,15787.8
#[INFO ] Res size 600
query3.2,200,1,SNAPPY,137438953472,32,0,14846935257,28855492608,13003.5
#[INFO ] Res size 24
query3.3,200,1,SNAPPY,137438953472,32,0,14839073751,28853669888,8189.44
#[INFO ] Res size 4
query3.4,200,1,SNAPPY,137438953472,32,0,14839074344,28853669888,8198.22
#[INFO ] Res size 35
query4.1,200,1,SNAPPY,137438953472,32,0,25591266439,36045324288,15238.9
#[INFO ] Res size 100
query4.2,200,1,SNAPPY,137438953472,32,0,25586353831,36043689984,18955.1
#[INFO ] Res size 800
query4.3,200,1,SNAPPY,137438953472,32,0,25589788956,36052365312,18076.8
#[INFO ] Res size 1
query1.1,200,1,SNAPPY,137438953472,32,0,11171455920,15922184192,6997.16
#[INFO ] Res size 1
query1.2,200,1,SNAPPY,137438953472,32,0,11171456249,15922167808,6725.63
#[INFO ] Res size 1
query1.3,200,1,SNAPPY,137438953472,32,0,11171456762,15922184192,6420.08
#[INFO ] Res size 280
query2.1,200,1,SNAPPY,137438953472,32,0,18394695326,28796493824,15252
#[INFO ] Res size 56
query2.2,200,1,SNAPPY,137438953472,32,0,18392729788,28793516032,14210.7
#[INFO ] Res size 7
query2.3,200,1,SNAPPY,137438953472,32,0,18392729788,28793516032,9165.39
#[INFO ] Res size 150
query3.1,200,1,SNAPPY,137438953472,32,0,14839140962,28846006272,15610.1
#[INFO ] Res size 600
query3.2,200,1,SNAPPY,137438953472,32,0,14846935261,28855492608,13064.4
#[INFO ] Res size 24
query3.3,200,1,SNAPPY,137438953472,32,0,14839073755,28853669888,8229.08
#[INFO ] Res size 4
query3.4,200,1,SNAPPY,137438953472,32,0,14839074346,28853669888,8063.55
#[INFO ] Res size 35
query4.1,200,1,SNAPPY,137438953472,32,0,25591266441,36045324288,14705.2
#[INFO ] Res size 100
query4.2,200,1,SNAPPY,137438953472,32,0,25586353833,36043689984,19173.2
#[INFO ] Res size 800
query4.3,200,1,SNAPPY,137438953472,32,0,25589788958,36052365312,18342.1
#[INFO ] Res size 1
query1.1,200,1,SNAPPY,137438953472,32,0,11171455922,15922184192,7122.78
#[INFO ] Res size 1
query1.2,200,1,SNAPPY,137438953472,32,0,11171456251,15922184192,6789.15
#[INFO ] Res size 1
query1.3,200,1,SNAPPY,137438953472,32,0,11171456764,15922184192,6715
#[INFO ] Res size 280
query2.1,200,1,SNAPPY,137438953472,32,0,18394695328,28796485632,15108.1
#[INFO ] Res size 56
query2.2,200,1,SNAPPY,137438953472,32,0,18392729790,28793516032,13550.3
#[INFO ] Res size 7
query2.3,200,1,SNAPPY,137438953472,32,0,18392729790,28793516032,9109.37
#[INFO ] Res size 150
query3.1,200,1,SNAPPY,137438953472,32,0,14839140964,28846006272,15773.8
#[INFO ] Res size 600
query3.2,200,1,SNAPPY,137438953472,32,0,14846935261,28855492608,13168.8
#[INFO ] Res size 24
query3.3,200,1,SNAPPY,137438953472,32,0,14839073755,28853669888,8491.37
#[INFO ] Res size 4
query3.4,200,1,SNAPPY,137438953472,32,0,14839074346,28853669888,8318.52
#[INFO ] Res size 35
query4.1,200,1,SNAPPY,137438953472,32,0,25591266441,36045324288,14725.4
#[INFO ] Res size 100
query4.2,200,1,SNAPPY,137438953472,32,0,25586353835,36043689984,19022.4
#[INFO ] Res size 800
query4.3,200,1,SNAPPY,137438953472,32,0,25589788960,36052365312,18098.4
#[INFO ] Res size 1
query1.1,200,1,SNAPPY,137438953472,32,0,11171455924,15922184192,6698.66
#[INFO ] Res size 1
query1.2,200,1,SNAPPY,137438953472,32,0,11171456253,15922184192,6682.76
#[INFO ] Res size 1
query1.3,200,1,SNAPPY,137438953472,32,0,11171456766,15922184192,6788.97
#[INFO ] Res size 280
query2.1,200,1,SNAPPY,137438953472,32,0,18394695330,28796489728,15377
#[INFO ] Res size 56
query2.2,200,1,SNAPPY,137438953472,32,0,18392729792,28793516032,14077.1
#[INFO ] Res size 7
query2.3,200,1,SNAPPY,137438953472,32,0,18392729792,28793516032,9413.05
#[INFO ] Res size 150
query3.1,200,1,SNAPPY,137438953472,32,0,14839140966,28846006272,16109.2
#[INFO ] Res size 600
query3.2,200,1,SNAPPY,137438953472,32,0,14846935263,28855492608,13332.9
#[INFO ] Res size 24
query3.3,200,1,SNAPPY,137438953472,32,0,14839073759,28853669888,8515.25
#[INFO ] Res size 4
query3.4,200,1,SNAPPY,137438953472,32,0,14839074350,28853669888,8181.91
#[INFO ] Res size 35
query4.1,200,1,SNAPPY,137438953472,32,0,25591266445,36045324288,14351.3
#[INFO ] Res size 100
query4.2,200,1,SNAPPY,137438953472,32,0,25586353837,36043689984,19081.5
#[INFO ] Res size 800
query4.3,200,1,SNAPPY,137438953472,32,0,25589788962,36052365312,17932.2
#[INFO ] Res size 1
query1.1,200,1,SNAPPY,137438953472,32,0,11171455926,15922184192,6688.92
#[INFO ] Res size 1
query1.2,200,1,SNAPPY,137438953472,32,0,11171456255,15922180096,6959.19
#[INFO ] Res size 1
query1.3,200,1,SNAPPY,137438953472,32,0,11171456768,15922184192,6719.88
#[INFO ] Res size 280
query2.1,200,1,SNAPPY,137438953472,32,0,18394695332,28796493824,15269.9
#[INFO ] Res size 56
query2.2,200,1,SNAPPY,137438953472,32,0,18392729794,28793516032,13411.6
#[INFO ] Res size 7
query2.3,200,1,SNAPPY,137438953472,32,0,18392729794,28793516032,9201.07
#[INFO ] Res size 150
query3.1,200,1,SNAPPY,137438953472,32,0,14839140968,28846006272,15913.4
#[INFO ] Res size 600
query3.2,200,1,SNAPPY,137438953472,32,0,14846935267,28855492608,13126
#[INFO ] Res size 24
query3.3,200,1,SNAPPY,137438953472,32,0,14839073761,28853669888,8282.25
#[INFO ] Res size 4
query3.4,200,1,SNAPPY,137438953472,32,0,14839074352,28853669888,8046.74
#[INFO ] Res size 35
query4.1,200,1,SNAPPY,137438953472,32,0,25591266447,36045324288,15375.6
#[INFO ] Res size 100
query4.2,200,1,SNAPPY,137438953472,32,0,25586353839,36043689984,19324.5
#[INFO ] Res size 800
query4.3,200,1,SNAPPY,137438953472,32,0,25589788964,36052365312,18430.5
# ../bin/duckdb_ssb --repeat=5 --dbpath=/raid/gds/parquet200/zstd/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 1
query1.1,200,1,ZSTD,137438953472,32,0,7151294749,12446478336,10120.4
#[INFO ] Res size 1
query1.2,200,1,ZSTD,137438953472,32,0,7151294836,12446453760,11003.5
#[INFO ] Res size 1
query1.3,200,1,ZSTD,137438953472,32,0,7151295185,12446478336,10044.1
#[INFO ] Res size 280
query2.1,200,1,ZSTD,137438953472,32,0,12976753700,25170403328,19559.1
#[INFO ] Res size 56
query2.2,200,1,ZSTD,137438953472,32,0,12975515927,25168297984,17777.2
#[INFO ] Res size 7
query2.3,200,1,ZSTD,137438953472,32,0,12975515926,25168297984,12964.3
#[INFO ] Res size 150
query3.1,200,1,ZSTD,137438953472,32,0,10305280229,25195114496,19361.7
#[INFO ] Res size 600
query3.2,200,1,ZSTD,137438953472,32,0,10310229299,25196810240,16279.5
#[INFO ] Res size 24
query3.3,200,1,ZSTD,137438953472,32,0,10305279672,25187078144,11290.8
#[INFO ] Res size 4
query3.4,200,1,ZSTD,137438953472,32,0,10305280025,25187078144,11731.4
#[INFO ] Res size 35
query4.1,200,1,ZSTD,137438953472,32,0,17232712983,25214844928,19940.3
#[INFO ] Res size 100
query4.2,200,1,ZSTD,137438953472,32,0,17229621574,25207521280,23584.3
#[INFO ] Res size 800
query4.3,200,1,ZSTD,137438953472,32,0,17231818300,25214943232,24310.6
#[INFO ] Res size 1
query1.1,200,1,ZSTD,137438953472,32,0,7151294721,12446478336,9918.54
#[INFO ] Res size 1
query1.2,200,1,ZSTD,137438953472,32,0,7151294848,12446474240,10564.9
#[INFO ] Res size 1
query1.3,200,1,ZSTD,137438953472,32,0,7151295193,12446478336,10365.4
#[INFO ] Res size 280
query2.1,200,1,ZSTD,137438953472,32,0,12976753708,25170403328,18592.1
#[INFO ] Res size 56
query2.2,200,1,ZSTD,137438953472,32,0,12975515932,25168297984,17636
#[INFO ] Res size 7
query2.3,200,1,ZSTD,137438953472,32,0,12975515932,25168297984,14331.1
#[INFO ] Res size 150
query3.1,200,1,ZSTD,137438953472,32,0,10305280233,25195114496,19258.8
#[INFO ] Res size 600
query3.2,200,1,ZSTD,137438953472,32,0,10310229305,25196810240,17159.9
#[INFO ] Res size 24
query3.3,200,1,ZSTD,137438953472,32,0,10305279678,25187078144,11209.2
#[INFO ] Res size 4
query3.4,200,1,ZSTD,137438953472,32,0,10305280029,25187078144,11722.6
#[INFO ] Res size 35
query4.1,200,1,ZSTD,137438953472,32,0,17232712985,25214844928,19971
#[INFO ] Res size 100
query4.2,200,1,ZSTD,137438953472,32,0,17229621576,25207521280,25035.8
#[INFO ] Res size 800
query4.3,200,1,ZSTD,137438953472,32,0,17231818302,25214943232,25054.9
#[INFO ] Res size 1
query1.1,200,1,ZSTD,137438953472,32,0,7151294723,12446478336,10417.4
#[INFO ] Res size 1
query1.2,200,1,ZSTD,137438953472,32,0,7151294850,12446478336,10531.8
#[INFO ] Res size 1
query1.3,200,1,ZSTD,137438953472,32,0,7151295195,12446478336,10336.3
#[INFO ] Res size 280
query2.1,200,1,ZSTD,137438953472,32,0,12976753710,25170403328,19807.2
#[INFO ] Res size 56
query2.2,200,1,ZSTD,137438953472,32,0,12975515934,25168297984,18002.4
#[INFO ] Res size 7
query2.3,200,1,ZSTD,137438953472,32,0,12975515934,25168297984,15207.5
#[INFO ] Res size 150
query3.1,200,1,ZSTD,137438953472,32,0,10305280235,25195114496,18617.6
#[INFO ] Res size 600
query3.2,200,1,ZSTD,137438953472,32,0,10310229305,25196810240,16957.8
#[INFO ] Res size 24
query3.3,200,1,ZSTD,137438953472,32,0,10305279678,25187078144,12017.2
#[INFO ] Res size 4
query3.4,200,1,ZSTD,137438953472,32,0,10305280029,25187078144,11792.8
#[INFO ] Res size 35
query4.1,200,1,ZSTD,137438953472,32,0,17232712985,25214844928,20585.3
#[INFO ] Res size 100
query4.2,200,1,ZSTD,137438953472,32,0,17229621576,25207521280,24446.3
#[INFO ] Res size 800
query4.3,200,1,ZSTD,137438953472,32,0,17231818302,25214943232,24767.8
#[INFO ] Res size 1
query1.1,200,1,ZSTD,137438953472,32,0,7151294723,12446478336,10210.2
#[INFO ] Res size 1
