query,scale_factor,drop_cache,row_group_size,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_ssb1.0 --repeat=5 --dbpath=/raid/gds/ssb/parquet200/uncompressed_sorted/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --mem_limit=274877906944 --thread_limit=64 --explain_analyze=false
#[INFO ] Res size 1
query1.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,23535897296,38911651840,3938.46
#[INFO ] Res size 1
query1.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20314305095,34899660800,3215.11
#[INFO ] Res size 1
query1.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20356709368,34937032704,3204.47
#[INFO ] Res size 280
query2.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33625152783,46735413248,5555.79
#[INFO ] Res size 56
query2.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079509,46732267520,5224.76
#[INFO ] Res size 7
query2.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079511,46732267520,5192.87
#[INFO ] Res size 150
query3.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33674347318,50409369600,5590.86
#[INFO ] Res size 600
query3.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33676875911,50405818368,5204.21
#[INFO ] Res size 24
query3.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664587139,50393853952,5133.21
#[INFO ] Res size 4
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588279,50393853952,5044.91
#[INFO ] Res size 35
query4.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48089203508,57599963136,8776.52
#[INFO ] Res size 100
query4.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48081524464,57599963136,9182.66
#[INFO ] Res size 800
query4.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48083944202,57599963136,7259.51
#[INFO ] Res size 1
query1.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,23534457538,38910205952,3755.88
#[INFO ] Res size 1
query1.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20314305105,34899660800,3198.34
#[INFO ] Res size 1
query1.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20356709378,34937032704,3219.42
#[INFO ] Res size 280
query2.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33625152791,46732267520,5358
#[INFO ] Res size 56
query2.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079515,46732267520,5164.93
#[INFO ] Res size 7
query2.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079515,46732267520,5208.92
#[INFO ] Res size 150
query3.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33674347322,50393853952,5554.62
#[INFO ] Res size 600
query3.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33676875915,50393853952,5148.23
#[INFO ] Res size 24
query3.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664587143,50393853952,5096.88
#[INFO ] Res size 4
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588281,50393853952,5126.9
#[INFO ] Res size 35
query4.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48089203510,57599963136,8955.29
#[INFO ] Res size 100
query4.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48081524466,57599963136,9334.32
#[INFO ] Res size 800
query4.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48083944204,57599963136,7357.93
#[INFO ] Res size 1
query1.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,23534457540,38910205952,3774.53
#[INFO ] Res size 1
query1.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20314305107,34899660800,3197.78
#[INFO ] Res size 1
query1.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20356709380,34937032704,3197.95
#[INFO ] Res size 280
query2.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33625152793,46732267520,5356.92
#[INFO ] Res size 56
query2.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079517,46732267520,5171.09
#[INFO ] Res size 7
query2.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079519,46732267520,5064.01
#[INFO ] Res size 150
query3.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33674347326,50393853952,5514.08
#[INFO ] Res size 600
query3.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33676875919,50393853952,5176.38
#[INFO ] Res size 24
query3.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664587147,50393853952,5085.55
#[INFO ] Res size 4
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588283,50393853952,5036.34
#[INFO ] Res size 35
query4.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48089203512,57599963136,8781.16
#[INFO ] Res size 100
query4.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48081524468,57599963136,9078.74
#[INFO ] Res size 800
query4.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,48083944206,57599963136,7343.16
#[INFO ] Res size 1
query1.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,23534457542,38910205952,3784.06
#[INFO ] Res size 1
query1.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20314305109,34899660800,3198.02
#[INFO ] Res size 1
query1.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,20356709384,34937032704,3223.43
#[INFO ] Res size 280
query2.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33625152797,46732267520,5393.27
#[INFO ] Res size 56
query2.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079521,46732267520,5186.26
#[INFO ] Res size 7
query2.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33622079521,46732267520,5134.33
#[INFO ] Res size 150
query3.1,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33674347328,50393853952,5515.99
#[INFO ] Res size 600
query3.2,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33676875921,50393853952,5267.6
#[INFO ] Res size 24
query3.3,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664587149,50393853952,5179.46
#[INFO ] Res size 4
query3.4,200,1,1050624,UNCOMPRESSED,274877906944,64,0,33664588285,50393853952,5104.82
#[INFO ] Res size 35
