query,dataflow,scale_factor,customer_factor,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 28743 32 1 gres:gpu:gpu_group1:1
# ../../../bin/ssb --dataflow=INMEM --chunk_bytes=0 --comp_algo=- --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8,16,32
#[INFO ] Loading table data from disk ...
#[INFO ] Prejoining tables for metadata ...
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,1422.22,,,,
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,1113.93,,,,
#[INFO ] The result is: 84148405063199
query1.1,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,609.484,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,8,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,927.809,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,16,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,638.685,,,,
#[INFO ] The result is: 18167977739771
query1.2,INMEM,200,1,32,1,1,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,42298834944,0,0,0,16800214942,0,-1,0,-1,409.31,,,,
#[INFO ] The result is: 4936900771232
