query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3,customer_factor,extra_workers,add_cpu_threads
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32625 32 1 gres:gpu:1
# ../../../bin/ssb --dataflow=SSD2GPU2CPU --chunk_bytes=262144,524288,1048576,2097152,4194304,8388608,16777216 --comp_algo=BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query3.1,query3.2,query3.3,query3.4,query3.1a,query3.2a,query3.3a,query3.4a,query3.1c,query3.2c,query3.3c,query3.4c,query3.1d,query3.2d,query3.3d,query3.4d --repeat=1 --scale_factor=200 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --extra_workers=8 --add_cpu_threads=32 --customer_factor=1,25,50,100 --max_gpu_um_memory=0
#[INFO ] Loading table data from disk ...
#[INFO ] Prejoining tables for metadata ...
#[INFO ] lo_tuples_per_chunk=32768
#[INFO ] cust_tuples_per_chunk=16384
#[INFO ] Lineorder columns bytes: 9000144896	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 59412480	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
#[INFO ] Pruned: 0 of 36989 chunks (0.00), 0 of 9059557376 bytes (0.00)
query3.1,SSD2GPU2CPU,200,,8,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,22728389046,235200804582,9059557376,33936429884,0,-1,1.39181e+06,0.008456,3174.94,169.105961,3005.507251,,,1,8,32
#[INFO ] lo_tuples_per_chunk=65536
#[INFO ] cust_tuples_per_chunk=32768
#[INFO ] Lineorder columns bytes: 8741740544	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 57413632	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
#[INFO ] Pruned: 0 of 18495 chunks (0.00), 0 of 8799154176 bytes (0.00)
query3.1,SSD2GPU2CPU,200,,8,524288,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,21854013480,234293923160,8799154176,33936429884,0,-1,716603,0.011381,1890.96,96.679025,1794.164895,,,1,8,32
#[INFO ] lo_tuples_per_chunk=131072
#[INFO ] cust_tuples_per_chunk=65536
#[INFO ] Lineorder columns bytes: 8651329536	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 56942592	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
#[INFO ] Pruned: 0 of 9248 chunks (0.00), 0 of 8708272128 bytes (0.00)
query3.1,SSD2GPU2CPU,200,,8,1048576,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,21466645360,233840494752,8708272128,33936429884,0,-1,372471,0.011041,1248.44,51.262423,1197.065829,,,1,8,32
#[INFO ] lo_tuples_per_chunk=262144
#[INFO ] cust_tuples_per_chunk=131072
#[INFO ] Lineorder columns bytes: 8633815040	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 56541184	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
#[INFO ] Pruned: 0 of 4624 chunks (0.00), 0 of 8690356224 bytes (0.00)
query3.1,SSD2GPU2CPU,200,,8,2097152,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,21372027092,233613755908,8690356224,33936429884,0,-1,197975,0.011472,841.097,25.690960,815.285960,,,1,8,32
#[INFO ] lo_tuples_per_chunk=524288
#[INFO ] cust_tuples_per_chunk=262144
#[INFO ] Lineorder columns bytes: 8608993280	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 56315904	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
#[INFO ] Pruned: 0 of 2312 chunks (0.00), 0 of 8665309184 bytes (0.00)
