query,dataflow,scale_factor,customer_factor,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 24517 32 1 gres:gpu:gpu_group1:1
# ../bin/ssb --dataflow=SSD2GPU2CPU --chunk_bytes=16777216,33554432,67108864 --comp_algo=BEST_BW_COMP,UNCOMPRESSED --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query3.1c,query3.2c,query3.3c,query3.4c,query3.1f,query3.2f,query3.3f,query3.4f --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --extra_workers=8 --add_cpu_threads=32 --customer_factor=1,25,50,100 --max_gpu_um_memory=0,16777216,67108864,268435456
#[INFO ] lo_tuples_per_chunk=2097152
#[INFO ] cust_tuples_per_chunk=1048576
#[INFO ] Lineorder columns bytes: 8607207424	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 58605568	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 0.00 GB as dummy memory, leaving 0.00 GB
#[INFO ] CUST vs LO timer          =CUST 17.27, LO 4607.18
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,16777216,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,42505273344,23569569392,155154904648,8665812992,33936429884,0,-1,3881.26,4626.31,17.268646,4607.177253,,
#[INFO ] lo_tuples_per_chunk=4194304
#[INFO ] cust_tuples_per_chunk=2097152
#[INFO ] Lineorder columns bytes: 8619806720	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 58580992	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 0.00 GB as dummy memory, leaving 0.00 GB
#[INFO ] CUST vs LO timer          =CUST 19.47, LO 4443.32
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,33554432,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,42505273344,26690131568,155691775560,8678387712,33936429884,0,-1,3947.95,4464.64,19.465546,4443.322933,,
#[INFO ] lo_tuples_per_chunk=8388608
#[INFO ] cust_tuples_per_chunk=4194304
#[INFO ] Lineorder columns bytes: 8648187904	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 78090240	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 0.00 GB as dummy memory, leaving 0.00 GB
#[INFO ] CUST vs LO timer          =CUST 23.96, LO 4557.57
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,67108864,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,42505273344,32931255920,156765517384,8726278144,33936429884,0,-1,4242.1,4583.4,23.963416,4557.571052,,
#[INFO ] lo_tuples_per_chunk=2097152
#[INFO ] cust_tuples_per_chunk=1048576
#[INFO ] Lineorder columns bytes: 8607207424	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 58605568	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 16.48 GB as dummy memory, leaving 0.02 GB
#[INFO ] CUST vs LO timer          =CUST 16.93, LO 4668.08
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,16777216,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,42505273344,41265534576,155154904648,8665812992,33936429884,0,-1,4039.55,4697.62,16.931567,4668.075311,,
#[INFO ] lo_tuples_per_chunk=4194304
#[INFO ] cust_tuples_per_chunk=2097152
#[INFO ] Lineorder columns bytes: 8619806720	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 58580992	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 13.63 GB as dummy memory, leaving 0.02 GB
#[INFO ] CUST vs LO timer          =CUST 26.82, LO 4531.20
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,33554432,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,42505273344,41324254832,155691775560,8678387712,33936429884,0,-1,3978.92,4569.5,26.824203,4531.202411,,
#[INFO ] lo_tuples_per_chunk=8388608
#[INFO ] cust_tuples_per_chunk=4194304
#[INFO ] Lineorder columns bytes: 8648187904	(1200015353 tuples)
#[INFO ] Customer  columns bytes: 78090240	(6000000 tuples)
#[INFO ] Supplier  columns bytes: 22409216	(400000 tuples)
#[INFO ] Date      columns bytes: 49152		(2555 tuples)
#[INFO ] Allocated 7.85 GB as dummy memory, leaving 0.02 GB
#[INFO ] CUST vs LO timer          =CUST 27.51, LO 4620.96
#[INFO ] CPU hashtable (/wo Agg)   =91.55MB
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1c,SSD2GPU2CPU,200,1,8,8,32,67108864,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,42505273344,41355712112,156765517384,8726278144,33936429884,0,-1,4548.72,4655.95,27.510313,4620.961920,,
#[INFO ] lo_tuples_per_chunk=2097152
