query,dataflow,scale_factor,customer_factor,pipelines,extra_pipelines,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,population_ms,comp_ms,time_ms
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:47:00.0
# Slurm Info: 23958 32 1 gres:gpu:gpu_group1:1
# ../bin/ssb --dataflow=SSD2GPU2CPU --chunk_bytes=8388608,16777216,33554432,67108864,134217728 --comp_algo=BEST_BW_COMP,UNCOMPRESSED --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3,query3.1,query3.2,query3.3,query3.4,query4.1,query4.2,query4.3 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --pipelines=8
#[INFO ] The result is: 84148490353947
query1.1,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,BEST_BW_COMP,none,0,42505273344,9184233280,154185965632,5899104256,16800214942,-1,5999.93,457.27
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,BEST_BW_COMP,none,0,42505273344,9448474432,154185965632,5897449472,16800214942,-1,4024.44,355.486
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,BEST_BW_COMP,none,0,42505273344,9976956736,154185965632,5904011264,16800214942,-1,3418.8,336.513
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,BEST_BW_COMP,none,0,42505273344,11033921344,154185965632,5923852288,16800214942,-1,2566.17,309.902
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,BEST_BW_COMP,none,0,42505273344,13147850560,154185965632,5923213312,16800214942,-1,2558.3,300.071
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,117489728,154185965632,16808673280,16800214942,-1,1845.54,901.635
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,234930240,154185965632,16823353344,16800214942,-1,2092.23,883.701
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,UNCOMPRESSED,none,0,42505273344,469811264,154185965632,16852713472,16800214942,-1,1864.1,871.989
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,UNCOMPRESSED,none,0,42505273344,939573312,154185965632,16911433728,16800214942,-1,1914.57,852.372
#[INFO ] The result is: 84148405063199
query1.1,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,UNCOMPRESSED,none,0,42505273344,1879097408,154185965632,16911433728,16800214942,-1,2006.04,833.762
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,BEST_BW_COMP,none,0,42505273344,9184233280,154185965632,5899104256,16800214942,-1,5932.11,456.774
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,BEST_BW_COMP,none,0,42505273344,9448474432,154185965632,5897449472,16800214942,-1,4026.3,355.152
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,BEST_BW_COMP,none,0,42505273344,9976956736,154185965632,5904011264,16800214942,-1,3466.59,341.304
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,BEST_BW_COMP,none,0,42505273344,11033921344,154185965632,5923852288,16800214942,-1,2626.64,308.604
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,BEST_BW_COMP,none,0,42505273344,13147850560,154185965632,5923213312,16800214942,-1,2300.01,300.726
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,117489728,154185965632,16808673280,16800214942,-1,2036.81,898.002
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,234930240,154185965632,16823353344,16800214942,-1,1936.89,886.324
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,UNCOMPRESSED,none,0,42505273344,469811264,154185965632,16852713472,16800214942,-1,1976.66,871.567
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,UNCOMPRESSED,none,0,42505273344,939573312,154185965632,16911433728,16800214942,-1,2007.52,842.913
#[INFO ] The result is: 18167977739771
query1.2,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,UNCOMPRESSED,none,0,42505273344,1879097408,154185965632,16911433728,16800214942,-1,1926.97,835.699
#[INFO ] The result is: 4937505773385
query1.3,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,BEST_BW_COMP,none,0,42505273344,9184233280,154185965632,5899104256,16800214942,-1,6000.82,460.876
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,BEST_BW_COMP,none,0,42505273344,9448474432,154185965632,5897449472,16800214942,-1,4022.32,360.176
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,BEST_BW_COMP,none,0,42505273344,9976956736,154185965632,5904011264,16800214942,-1,3046.25,341.886
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,BEST_BW_COMP,none,0,42505273344,11033921344,154185965632,5923852288,16800214942,-1,2638.51,308.274
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,BEST_BW_COMP,none,0,42505273344,13147850560,154185965632,5923213312,16800214942,-1,2303.13,297.277
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,117489728,154185965632,16808673280,16800214942,-1,1940.01,972.314
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,234930240,154185965632,16823353344,16800214942,-1,1985.2,890.833
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,UNCOMPRESSED,none,0,42505273344,469811264,154185965632,16852713472,16800214942,-1,2060.81,877.498
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,UNCOMPRESSED,none,0,42505273344,939573312,154185965632,16911433728,16800214942,-1,1929.58,840.93
#[INFO ] The result is: 4936900771232
query1.3,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,UNCOMPRESSED,none,0,42505273344,1879097408,154185965632,16911433728,16800214942,-1,1937.82,831.173
#[INFO ] Lineorder columns bytes: 10543452160	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,BEST_BW_COMP,none,0,42505273344,607058416,154185978608,10543452160,33600429884,-1,4184.17,612.232
#[INFO ] Lineorder columns bytes: 10545147904	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,BEST_BW_COMP,none,0,42505273344,1135540720,154185978608,10545147904,33600429884,-1,4033.58,567.441
#[INFO ] Lineorder columns bytes: 10560462848	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,33554432,65536,BEST_BW_COMP,none,0,42505273344,2192505328,154185978608,10560462848,33600429884,-1,4010.71,693.929
#[INFO ] Lineorder columns bytes: 10595323904	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,67108864,65536,BEST_BW_COMP,none,0,42505273344,4306434544,154185978608,10595323904,33600429884,-1,3819.65,561.788
#[INFO ] Lineorder columns bytes: 10594304000	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,134217728,65536,BEST_BW_COMP,none,0,42505273344,8534292976,154185978608,10594304000,33600429884,-1,3854.58,558.966
#[INFO ] Lineorder columns bytes: 33617346560	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,8388608,65536,UNCOMPRESSED,none,0,42505273344,295727856,154185978608,33617346560,33600429884,-1,4101.78,1755.29
#[INFO ] Lineorder columns bytes: 33646706688	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
query2.1,SSD2GPU2CPU,200,1,8,1,1,16777216,65536,UNCOMPRESSED,none,0,42505273344,530608880,154185978608,33646706688,33600429884,-1,3855.59,1694.2
#[INFO ] Lineorder columns bytes: 33705426944	(1200015353 tuples)
#[INFO ] Parts     columns bytes: 51200000	(1600000 tuples)
#[INFO ] Supplier  columns bytes: 9605120	(400000 tuples)
#[INFO ] Date      columns bytes: 28672		(2555 tuples)
#[INFO ] Sum of results            =34701243286598
#[INFO ] Number of results (groups)=280
