# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:B7:00.0
# Slurm Info: 24264 32 1 gres:gpu:gpu_group3:1
# ../bin/sample_ssb --chunk_bytes=8388608,16777216,33554432,67108864,134217728,268435456 --comp_algo=LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --repeat=2 --scale_factor=200 --ssdpath=/raid/gds/100G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=8 --customer_factor=1 --columns=lo_key,lo_linenum,lo_custkey,lo_partkey,lo_suppkey,lo_orderdate,lo_linenumber,lo_orderpriority,lo_quantity,lo_extendedprice,lo_ordtotalprice,lo_discount,lo_revenue,lo_supplycost,lo_tax,lo_commitdate,lo_shipmode --sample_ratio=0.01,0.05,0.1,0.2
col_name,comp_algo,uncomp_bytes,chunk_bytes,sample_ratio,workers,comp_bytes,comp_time,decomp_time
lo_key_sample_BW,Cascaded,96001224,8388608,0.01,8,4423680,7.07467,1.40559
lo_key_sample_RATIO,Cascaded,96001224,8388608,0.01,8,4423680,7.07467,1.40559
lo_linenum_sample_BW,Bitcomp,12000153,8388608,0.01,8,6045696,3.65805,1.76215
lo_linenum_sample_RATIO,Cascaded,12000153,16777216,0.01,8,3760128,3.11447,1.78197
lo_custkey_sample_BW,Cascaded,96001224,16777216,0.01,8,12955648,10.9063,2.23206
lo_custkey_sample_RATIO,Cascaded,96001224,33554432,0.01,8,12947456,13.7109,3.12099
lo_partkey_sample_BW,Cascaded,96001224,8388608,0.01,8,36814848,15.2756,2.8933
lo_partkey_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,31748096,17.4642,4.49599
lo_suppkey_sample_BW,Bitcomp,96001224,16777216,0.01,8,30105600,17.0117,2.85177
lo_suppkey_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,28745728,15.408,3.99883
lo_orderdate_sample_BW,Cascaded,96001224,33554432,0.01,8,10215424,13.4835,1.99268
lo_orderdate_sample_RATIO,Cascaded,96001224,33554432,0.01,8,10215424,13.4835,1.99268
lo_linenumber_sample_BW,Bitcomp,12000153,16777216,0.01,8,4538368,2.93741,1.60999
lo_linenumber_sample_RATIO,ANS,12000153,16777216,0.01,8,3956736,4.38882,2.1333
lo_orderpriority_sample_BW,Gdeflate,192002448,33554432,0.01,8,13479936,37.2951,3.03486
lo_orderpriority_sample_RATIO,Gdeflate,192002448,8388608,0.01,8,12967936,93.467,4.84426
lo_quantity_sample_BW,Bitcomp,12000153,134217728,0.01,8,9203712,4.05274,1.99022
lo_quantity_sample_RATIO,ANS,12000153,16777216,0.01,8,8511488,5.48579,2.68203
lo_extendedprice_sample_BW,Bitcomp,48000612,16777216,0.01,8,37117952,12.0944,3.32246
lo_extendedprice_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,35422208,14.504,13.198
lo_ordtotalprice_sample_BW,Cascaded,48000612,8388608,0.01,8,12533760,8.9438,2.07018
lo_ordtotalprice_sample_RATIO,Cascaded,48000612,67108864,0.01,8,12300288,9.08256,2.6229
lo_discount_sample_BW,Bitcomp,12000153,16777216,0.01,8,6033408,3.22298,1.66
lo_discount_sample_RATIO,ANS,12000153,16777216,0.01,8,5230592,4.60177,2.20094
lo_revenue_sample_BW,Bitcomp,48000612,16777216,0.01,8,36835328,12.1442,3.39899
lo_revenue_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,35151872,12.9866,4.48418
lo_supplycost_sample_BW,Bitcomp,48000612,8388608,0.01,8,26714112,13.7064,2.75673
lo_supplycost_sample_RATIO,Bitcomp,48000612,67108864,0.01,8,25489408,11.6176,3.79532
lo_tax_sample_BW,Bitcomp,12000153,16777216,0.01,8,5955584,3.21404,1.75733
lo_tax_sample_RATIO,ANS,12000153,16777216,0.01,8,4796416,4.51074,2.1778
lo_commitdate_sample_BW,Bitcomp,96001224,33554432,0.01,8,30240768,16.7813,3.14287
lo_commitdate_sample_RATIO,Bitcomp,96001224,134217728,0.01,8,28893184,16.9047,4.13716
lo_shipmode_sample_BW,Gdeflate,192002448,16777216,0.01,8,26746880,83.9623,3.55278
lo_shipmode_sample_RATIO,Gdeflate,192002448,8388608,0.01,8,25673728,142.763,4.23799
lo_key_sample_BW,Cascaded,480006136,33554432,0.05,8,22118400,30.3071,2.57526
lo_key_sample_RATIO,Cascaded,480006136,16777216,0.05,8,21381120,30.3627,3.25858
lo_linenum_sample_BW,Cascaded,60000767,8388608,0.05,8,20557824,9.45472,2.32071
lo_linenum_sample_RATIO,Cascaded,60000767,67108864,0.05,8,18497536,11.6294,3.89867
lo_custkey_sample_BW,Cascaded,480006136,33554432,0.05,8,64757760,39.8646,4.83201
lo_custkey_sample_RATIO,Cascaded,480006136,16777216,0.05,8,62615552,39.8638,4.98992
lo_partkey_sample_BW,Bitcomp,480006136,8388608,0.05,8,160833536,60.3627,10.1156
lo_partkey_sample_RATIO,Bitcomp,480006136,16777216,0.05,8,160714752,58.1278,12.6142
lo_suppkey_sample_BW,Bitcomp,480006136,33554432,0.05,8,70643712,37.0725,6.30216
lo_suppkey_sample_RATIO,Bitcomp,480006136,268435456,0.05,8,63705088,51.4622,8.16042
lo_orderdate_sample_BW,Cascaded,480006136,16777216,0.05,8,49414144,37.1797,3.92402
lo_orderdate_sample_RATIO,Cascaded,480006136,16777216,0.05,8,49414144,37.1797,3.92402
lo_linenumber_sample_BW,Bitcomp,60000767,8388608,0.05,8,25362432,9.01674,2.49544
lo_linenumber_sample_RATIO,ANS,60000767,67108864,0.05,8,19718144,12.5649,4.53528
