query,dataflow,scale_factor,customer_factor,core_pin,workers,extra_workers,add_cpu_threads,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:07:00.0
# Slurm Info: 32132 32 1 gres:gpu:1
# ../../../bin/ssb --dataflow=INMEM --chunk_bytes=0 --comp_algo=BEST_BW_COMP --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query3.1,query3.2,query3.3,query3.4 --repeat=1 --scale_factor=200 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/ssb/diskdb200.dat --store_offset=0 --workers=16 --extra_workers=8 --add_cpu_threads=32 --customer_factor=1,25,50,100 --max_gpu_um_memory=0,16777216,67108864,268435456
#[INFO ] Loading table data from disk ...
#[INFO ] Prejoining tables for metadata ...
#Hashtable Builds took 39.6631 ms
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,1,,16,8,32,0,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,233387010624,0,33936429884,0,-1,-1,-1,2326.08,,,,
#Hashtable Builds took 39.1874 ms
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,1,,16,8,32,0,65536,BEST_BW_COMP,natural,16777216,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,233387010624,0,33936429884,0,-1,-1,-1,2355.56,,,,
#Hashtable Builds took 37.5539 ms
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,1,,16,8,32,0,65536,BEST_BW_COMP,natural,67108864,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,233387010624,0,33936429884,0,-1,-1,-1,2339.59,,,,
#Hashtable Builds took 39.2533 ms
#[INFO ] Sum of results            =149723353967039
#[INFO ] Number of results (groups)=150
query3.1,INMEM,200,1,,16,8,32,0,65536,BEST_BW_COMP,natural,268435456,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,233387010624,0,33936429884,0,-1,-1,-1,2364.74,,,,
#Hashtable Builds took 14.7891 ms
#[INFO ] Sum of results            =5989792312080
#[INFO ] Number of results (groups)=600
