query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/snappy/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,137438953472,32,0,4573391664,10384334848,2414.18
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,137438953472,32,0,4573391690,10384334848,2234.91
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,137438953472,32,0,4573391690,10384334848,2155.24
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,137438953472,32,0,8668104411,13089329152,3661.04
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,137438953472,32,0,8668104415,13089275904,4552.16
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,137438953472,32,0,8668104415,13089275904,4567.07
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,137438953472,32,0,4573391696,10384334848,2360.95
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,137438953472,32,0,4573391696,10384334848,2194.68
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,137438953472,32,0,4573391696,10384334848,2120.91
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,137438953472,32,0,8668104417,13089275904,3646.71
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,137438953472,32,0,8668104417,13089275904,4655.96
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,137438953472,32,0,8668104419,13089275904,4384.79
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,137438953472,32,0,4573391700,10384334848,2381.25
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,137438953472,32,0,4573391700,10384334848,2276.51
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,137438953472,32,0,4573391700,10384334848,2173.74
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,137438953472,32,0,8668104419,13089275904,3709.43
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,137438953472,32,0,8668104421,13089275904,4535.43
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,137438953472,32,0,8668104421,13089275904,4465.4
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,137438953472,32,0,4573391702,10384334848,2364.77
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,137438953472,32,0,4573391702,10384334848,2277.76
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,137438953472,32,0,4573391702,10384334848,2156.47
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,137438953472,32,0,8668104421,13089275904,3680.77
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,137438953472,32,0,8668104421,13089275904,4623.3
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,137438953472,32,0,8668104423,13089275904,4402.83
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,137438953472,32,0,4573391704,10384334848,2394.56
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,137438953472,32,0,4573391704,10384334848,2235.78
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,137438953472,32,0,4573391704,10384334848,2156.62
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,137438953472,32,0,8668104423,13089275904,3665.86
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,137438953472,32,0,8668104423,13089275904,4463.87
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,137438953472,32,0,8668104423,13089275904,4557.09
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/zstd/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=137438953472 --thread_limit=32
#[INFO ] Res size 12
query1.1,60,1,ZSTD,137438953472,32,0,2836595671,4030955520,2256.11
#[INFO ] Res size 12
query1.2,60,1,ZSTD,137438953472,32,0,2836595695,4030693376,2003.92
#[INFO ] Res size 12
query1.3,60,1,ZSTD,137438953472,32,0,2836595695,4030693376,1883.64
#[INFO ] Res size 7
query2.1,60,1,ZSTD,137438953472,32,0,5279473883,7377145856,3311.81
#[INFO ] Res size 7
query2.2,60,1,ZSTD,137438953472,32,0,5279473889,7377145856,4436.17
#[INFO ] Res size 7
query2.3,60,1,ZSTD,137438953472,32,0,5279473889,7377145856,4408.78
#[INFO ] Res size 12
query1.1,60,1,ZSTD,137438953472,32,0,2836595703,4030693376,2293.46
#[INFO ] Res size 12
query1.2,60,1,ZSTD,137438953472,32,0,2836595703,4030693376,2003.07
#[INFO ] Res size 12
query1.3,60,1,ZSTD,137438953472,32,0,2836595703,4030693376,1879.11
#[INFO ] Res size 7
query2.1,60,1,ZSTD,137438953472,32,0,5279473889,7377145856,3347.45
#[INFO ] Res size 7
query2.2,60,1,ZSTD,137438953472,32,0,5279473889,7377145856,4455.3
#[INFO ] Res size 7
query2.3,60,1,ZSTD,137438953472,32,0,5279473891,7377145856,4436.88
#[INFO ] Res size 12
query1.1,60,1,ZSTD,137438953472,32,0,2836595705,4030693376,2220.43
#[INFO ] Res size 12
query1.2,60,1,ZSTD,137438953472,32,0,2836595705,4030693376,2008.38
#[INFO ] Res size 12
query1.3,60,1,ZSTD,137438953472,32,0,2836595705,4030693376,1872.13
#[INFO ] Res size 7
query2.1,60,1,ZSTD,137438953472,32,0,5279473891,7377145856,3247.56
#[INFO ] Res size 7
query2.2,60,1,ZSTD,137438953472,32,0,5279473891,7377145856,4407.82
#[INFO ] Res size 7
query2.3,60,1,ZSTD,137438953472,32,0,5279473891,7377145856,4360.51
#[INFO ] Res size 12
query1.1,60,1,ZSTD,137438953472,32,0,2836595707,4030693376,2242.92
#[INFO ] Res size 12
query1.2,60,1,ZSTD,137438953472,32,0,2836595707,4030693376,2033.99
#[INFO ] Res size 12
query1.3,60,1,ZSTD,137438953472,32,0,2836595707,4030693376,1918.83
#[INFO ] Res size 7
