query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/snappy/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,274877906944,64,0,4573391664,10384334848,1990.88
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,274877906944,64,0,4573391690,10384334848,1902.54
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,274877906944,64,0,4573391690,10384334848,1824.32
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,274877906944,64,0,8668104411,13089275904,3321.41
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,274877906944,64,0,8668104415,13089275904,3623.24
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,274877906944,64,0,8668104415,13089275904,3609.91
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,274877906944,64,0,4573391696,10384334848,1935.58
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,274877906944,64,0,4573391696,10384334848,1844.52
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,274877906944,64,0,4573391696,10384334848,1860.39
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,274877906944,64,0,8668104417,13089275904,3246.49
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,274877906944,64,0,8668104417,13089275904,3622.68
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,274877906944,64,0,8668104419,13089275904,3579.04
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,274877906944,64,0,4573391700,10384334848,1961.18
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,274877906944,64,0,4573391700,10384334848,1884.21
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,274877906944,64,0,4573391700,10384334848,1859.4
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,274877906944,64,0,8668104419,13089275904,3233.53
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,274877906944,64,0,8668104421,13089275904,3582.96
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,274877906944,64,0,8668104421,13089275904,3547.45
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,274877906944,64,0,4573391702,10384334848,1922.11
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,274877906944,64,0,4573391702,10384334848,1882.2
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,274877906944,64,0,4573391702,10384334848,1849.66
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,274877906944,64,0,8668104421,13089275904,3161.85
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,274877906944,64,0,8668104421,13089275904,3526.67
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,274877906944,64,0,8668104423,13089275904,3534.11
#[INFO ] Res size 12
query1.1,60,1,SNAPPY,274877906944,64,0,4573391704,10384334848,1915.06
#[INFO ] Res size 12
query1.2,60,1,SNAPPY,274877906944,64,0,4573391704,10384334848,1877.68
#[INFO ] Res size 12
query1.3,60,1,SNAPPY,274877906944,64,0,4573391704,10384334848,1841.14
#[INFO ] Res size 7
query2.1,60,1,SNAPPY,274877906944,64,0,8668104423,13089275904,3219.6
#[INFO ] Res size 7
query2.2,60,1,SNAPPY,274877906944,64,0,8668104423,13089275904,3535.33
#[INFO ] Res size 7
query2.3,60,1,SNAPPY,274877906944,64,0,8668104423,13089275904,3480.42
# ../../../bin/duckdb_taxi --repeat=5 --dbpath=/raid/gds/taxi/parquet60/zstd/ --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 12
