query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:87:00.0
# Slurm Info: 32257 32 1 gres:gpu:1
# ../../../bin/taxi --dataflow=INMEM --chunk_bytes=0 --comp_algo=- --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --repeat=2 --scale_factor=60 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/taxi/trips.csv.dat --store_offset=0 --workers=32
#[INFO ] Loading table data from disk ...
#[INFO ] Month: 1, Sum: 43298722
#[INFO ] Month: 2, Sum: 42115836
#[INFO ] Month: 3, Sum: 45703492
#[INFO ] Month: 4, Sum: 44439573
#[INFO ] Month: 5, Sum: 44201781
#[INFO ] Month: 6, Sum: 41606747
#[INFO ] Month: 7, Sum: 38015912
#[INFO ] Month: 8, Sum: 36911184
#[INFO ] Month: 9, Sum: 38263812
#[INFO ] Month: 10, Sum: 41897053
#[INFO ] Month: 11, Sum: 39257983
#[INFO ] Month: 12, Sum: 39983601
query1.1,INMEM,60,,32,0,65536,-,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,0,0,0,9250259104,0,-1,0,-1,274.1,,,,
#[INFO ] Month: 1, Sum: 5287565
#[INFO ] Month: 2, Sum: 5276617
#[INFO ] Month: 3, Sum: 6035374
#[INFO ] Month: 4, Sum: 5979853
#[INFO ] Month: 5, Sum: 6192833
#[INFO ] Month: 6, Sum: 5788621
#[INFO ] Month: 7, Sum: 5280653
#[INFO ] Month: 8, Sum: 5183853
#[INFO ] Month: 9, Sum: 5255148
