query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:87:00.0
# Slurm Info: 32257 32 1 gres:gpu:1
# ../../../bin/taxi --dataflow=SSD2GPU2CPU --chunk_bytes=262144,524288,1048576,2097152,4194304,8388608,16777216 --comp_algo=BEST_BW_COMP,UNCOMPRESSED --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=query1.1,query1.2,query1.3,query2.1,query2.2,query2.3 --repeat=2 --scale_factor=60 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/taxi/trips.csv.dat --store_offset=0 --workers=8
#[INFO ] Loading table data from disk ...
#[INFO ] Month: 1, Sum: 13553395
#[INFO ] Month: 2, Sum: 13363622
#[INFO ] Month: 3, Sum: 14707890
#[INFO ] Month: 4, Sum: 14600033
#[INFO ] Month: 5, Sum: 14673833
#[INFO ] Month: 6, Sum: 13767107
#[INFO ] Month: 7, Sum: 12673323
#[INFO ] Month: 8, Sum: 12271476
#[INFO ] Month: 9, Sum: 12630584
#[INFO ] Month: 10, Sum: 13635496
#[INFO ] Month: 11, Sum: 12520767
#[INFO ] Month: 12, Sum: 12554340
#[INFO ] Pruned: 0 of 17644 chunks (0.00), 0 of 3685613568 bytes (0.00)
query1.1,SSD2GPU2CPU,60,,8,262144,65536,BEST_BW_COMP,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,11402825948,123300076692,3685613568,9250259104,0,-1,273512,0.012013,6298.88,,,,
#[INFO ] Month: 1, Sum: 13553395
#[INFO ] Month: 2, Sum: 13363622
#[INFO ] Month: 3, Sum: 14707890
