query,scale_factor,drop_cache,comp_algo,mem_limit,thread_limit,uncomp_bytes,comp_bytes,io_bytes,time_ms
# ../../../bin/duckdb_tpch --repeat=5 --dbpath=/raid/gds/tpch/parquet200/snappy/ --query=query1,query3,query5 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 4
query1,200,1,SNAPPY,274877906944,64,0,17378423192,23765430272,9012.36
#[INFO ] Res size 2262742
query3,200,1,SNAPPY,274877906944,64,0,18052591483,32459210752,9530.88
#[INFO ] Res size 5
query5,200,1,SNAPPY,274877906944,64,0,20327016342,32752279552,9273.36
#[INFO ] Res size 4
query1,200,1,SNAPPY,274877906944,64,0,17378423218,23767871488,8184.63
#[INFO ] Res size 2262742
query3,200,1,SNAPPY,274877906944,64,0,18052591487,32462274560,8390.94
#[INFO ] Res size 5
query5,200,1,SNAPPY,274877906944,64,0,20327016346,32749948928,9170.37
#[INFO ] Res size 4
query1,200,1,SNAPPY,274877906944,64,0,17378423224,23764856832,7964.26
#[INFO ] Res size 2262742
query3,200,1,SNAPPY,274877906944,64,0,18052591491,32459317248,8485.3
#[INFO ] Res size 5
query5,200,1,SNAPPY,274877906944,64,0,20327016350,32747892736,9183.45
#[INFO ] Res size 4
query1,200,1,SNAPPY,274877906944,64,0,17378423224,23764856832,8014.25
#[INFO ] Res size 2262742
query3,200,1,SNAPPY,274877906944,64,0,18052591491,32465776640,8475.26
#[INFO ] Res size 5
query5,200,1,SNAPPY,274877906944,64,0,20327016350,32748470272,9271.33
#[INFO ] Res size 4
query1,200,1,SNAPPY,274877906944,64,0,17378423224,23767871488,8081.09
#[INFO ] Res size 2262742
query3,200,1,SNAPPY,274877906944,64,0,18052591491,32460279808,8413.56
#[INFO ] Res size 5
query5,200,1,SNAPPY,274877906944,64,0,20327016352,32751452160,9103.23
# ../../../bin/duckdb_tpch --repeat=5 --dbpath=/raid/gds/tpch/parquet200/zstd/ --query=query1,query3,query5 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 4
query1,200,1,ZSTD,274877906944,64,0,8910147943,10811629568,8004.14
#[INFO ] Res size 2262742
query3,200,1,ZSTD,274877906944,64,0,9434374333,15786323968,7733.8
#[INFO ] Res size 5
query5,200,1,ZSTD,274877906944,64,0,11456164064,19368030208,6810.01
#[INFO ] Res size 4
query1,200,1,ZSTD,274877906944,64,0,8910147969,10811666432,7627.17
#[INFO ] Res size 2262742
query3,200,1,ZSTD,274877906944,64,0,9434374337,15789617152,7553.19
#[INFO ] Res size 5
query5,200,1,ZSTD,274877906944,64,0,11456164066,19370393600,7167.47
#[INFO ] Res size 4
query1,200,1,ZSTD,274877906944,64,0,8910147971,10811293696,7911.48
#[INFO ] Res size 2262742
query3,200,1,ZSTD,274877906944,64,0,9434374341,15788199936,7388.42
#[INFO ] Res size 5
query5,200,1,ZSTD,274877906944,64,0,11456164070,19367305216,6810.11
#[INFO ] Res size 4
query1,200,1,ZSTD,274877906944,64,0,8910147973,10809864192,7544.75
#[INFO ] Res size 2262742
query3,200,1,ZSTD,274877906944,64,0,9434374341,15785062400,7233.33
#[INFO ] Res size 5
query5,200,1,ZSTD,274877906944,64,0,11456164072,19368636416,6884.28
#[INFO ] Res size 4
query1,200,1,ZSTD,274877906944,64,0,8910147975,10809864192,7555.49
#[INFO ] Res size 2262742
query3,200,1,ZSTD,274877906944,64,0,9434374343,15788945408,7239.08
#[INFO ] Res size 5
query5,200,1,ZSTD,274877906944,64,0,11456164074,19365879808,6762.94
# ../../../bin/duckdb_tpch --repeat=5 --dbpath=/raid/gds/tpch/parquet200/gzip/ --query=query1,query3,query5 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 4
query1,200,1,GZIP,274877906944,64,0,10370403394,14390915072,7972.65
#[INFO ] Res size 2262742
query3,200,1,GZIP,274877906944,64,0,10588238253,15862521856,8114.3
#[INFO ] Res size 5
query5,200,1,GZIP,274877906944,64,0,12578112204,22972727296,7489.91
#[INFO ] Res size 4
query1,200,1,GZIP,274877906944,64,0,10370403420,14391701504,7692.92
#[INFO ] Res size 2262742
query3,200,1,GZIP,274877906944,64,0,10588238255,15862226944,7776.22
#[INFO ] Res size 5
query5,200,1,GZIP,274877906944,64,0,12578112206,22972846080,7557.96
#[INFO ] Res size 4
query1,200,1,GZIP,274877906944,64,0,10370403424,14391701504,7579.16
#[INFO ] Res size 2262742
query3,200,1,GZIP,274877906944,64,0,10588238259,15865692160,7683.9
#[INFO ] Res size 5
query5,200,1,GZIP,274877906944,64,0,12578112210,22972907520,7624.02
#[INFO ] Res size 4
query1,200,1,GZIP,274877906944,64,0,10370403426,14391701504,7621.23
#[INFO ] Res size 2262742
query3,200,1,GZIP,274877906944,64,0,10588238261,15865978880,7505.37
#[INFO ] Res size 5
query5,200,1,GZIP,274877906944,64,0,12578112212,22972641280,7577.4
#[INFO ] Res size 4
query1,200,1,GZIP,274877906944,64,0,10370403426,14390898688,7507.15
#[INFO ] Res size 2262742
query3,200,1,GZIP,274877906944,64,0,10588238261,15865868288,7614.35
#[INFO ] Res size 5
query5,200,1,GZIP,274877906944,64,0,12578112214,22972846080,7750.69
# ../../../bin/duckdb_tpch --repeat=5 --dbpath=/raid/gds/tpch/parquet200/uncompressed/ --query=query1,query3,query5 --mem_limit=274877906944 --thread_limit=64
#[INFO ] Res size 4
query1,200,1,UNCOMPRESSED,274877906944,64,0,44371587021,50410819584,9240.01
#[INFO ] Res size 2262742
query3,200,1,UNCOMPRESSED,274877906944,64,0,42288729030,62251450368,12361
#[INFO ] Res size 5
query5,200,1,UNCOMPRESSED,274877906944,64,0,44912787076,63790055424,11520.4
#[INFO ] Res size 4
query1,200,1,UNCOMPRESSED,274877906944,64,0,44371587055,50410819584,9347.22
#[INFO ] Res size 2262742
query3,200,1,UNCOMPRESSED,274877906944,64,0,42288729036,62251610112,11952.8
#[INFO ] Res size 5
query5,200,1,UNCOMPRESSED,274877906944,64,0,44912787080,63790055424,11466.3
#[INFO ] Res size 4
query1,200,1,UNCOMPRESSED,274877906944,64,0,44371587058,50410819584,9396.74
#[INFO ] Res size 2262742
query3,200,1,UNCOMPRESSED,274877906944,64,0,42288729038,62254465024,11972.7
#[INFO ] Res size 5
query5,200,1,UNCOMPRESSED,274877906944,64,0,44912787082,63789359104,11465.5
#[INFO ] Res size 4
query1,200,1,UNCOMPRESSED,274877906944,64,0,44371587057,50409922560,9441.11
#[INFO ] Res size 2262742
query3,200,1,UNCOMPRESSED,274877906944,64,0,42288729038,62249328640,11880.5
#[INFO ] Res size 5
query5,200,1,UNCOMPRESSED,274877906944,64,0,44912787082,63786180608,11520.8
#[INFO ] Res size 4
query1,200,1,UNCOMPRESSED,274877906944,64,0,44371587057,50410819584,9380.66
#[INFO ] Res size 2262742
query3,200,1,UNCOMPRESSED,274877906944,64,0,42288729038,62250426368,11856.2
#[INFO ] Res size 5
query5,200,1,UNCOMPRESSED,274877906944,64,0,44912787084,63784235008,11496.1
