query,dataflow,scale_factor,core_pin,workers,chunk_bytes,nvchunk,comp_algo,sort_by,max_gpu_um_memory,pruning,pruning_param,pruning_p,pruning_m,col_filter_lo,col_filter_hi,simulate_compute_us,event_sync,device_mem_total,device_mem_used,host_mem_used,comp_bytes,uncomp_bytes,pruned_bytes,population_ms,comp_ms,prune_ms,time_ms,debug_0,debug_1,debug_2,debug_3
# GPU   Info: NVIDIA A100-SXM4-40GB, 00000000:87:00.0
# Slurm Info: 32191 32 1 gres:gpu:1
# ../../../bin/tpch --dataflow=SSD2GPU --chunk_bytes=65536,262144,1048576,4194304,16777216,67108864 --comp_algo=UNCOMPRESSED,LZ4,Cascaded,Snappy,Gdeflate,Bitcomp,ANS --cuda_device=0 --init_variant=init_only --nvchunk=65536 --print=csv --query=select_l_orderkey,select_l_partkey,select_l_suppkey,select_l_linenumber,select_l_quantity,select_l_extendedprice,select_l_discount,select_l_tax,select_l_returnflag,select_l_linestatus,select_l_shipdate,select_l_commitdate,select_l_receiptdate,select_l_shipinstruct,select_l_shipmode --repeat=1 --scale_factor=200 --ssdpath=/raid/gds/300G.file --dbpath=/mnt/labstore/nboeschen/tpch-dbgen/orders.csv --store_offset=0 --workers=8 --csv_delimiter=|
#[INFO ] Loading table data from disk ...
select_l_orderkey,SSD2GPU,200,,8,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,524288,245612240896,9600151552,9600147472,0,-1,1079.05,-1,13833.5,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2097152,245612306432,9600151552,9600147472,0,-1,1128.39,-1,3439.21,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,8388608,245612830720,9600151552,9600147472,0,-1,1125.86,-1,876.043,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,33554432,245612830720,9600151552,9600147472,0,-1,1152.39,-1,477.53,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,134217728,245625413632,9600151552,9600147472,0,-1,1048.54,-1,465.151,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,536870912,245675745280,9600151552,9600147472,0,-1,1128.41,-1,462.373,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2726387712,245612240896,3591610368,9600147472,0,-1,611709,-1,43085.6,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2729926656,245612306432,3150073856,9600147472,0,-1,156041,-1,11806.1,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2744082432,245612830720,3073527808,9600147472,0,-1,39961.3,-1,2949.46,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2800705536,245612830720,3053547520,9600147472,0,-1,11483.2,-1,848.204,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,3027197952,245625413632,3053735936,9600147472,0,-1,3560.53,-1,293.927,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,3933167616,245675745280,3068821504,9600147472,0,-1,1729.63,-1,180.453,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,18908928,245612240896,600010752,9600147472,0,-1,30373.8,-1,14597,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,22447872,245612306432,450011136,9600147472,0,-1,7867.46,-1,3456.79,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,36603648,245612830720,450035712,9600147472,0,-1,2269.08,-1,835.98,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,93226752,245612830720,423202816,9600147472,0,-1,1112.26,-1,372.976,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,319719168,245625413632,422461440,9600147472,0,-1,603.108,-1,56.1015,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1225688832,245675745280,424542208,9600147472,0,-1,544.924,-1,39.9257,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1124664768,245612240896,2400043008,9600147472,0,-1,569468,-1,30950.7,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1128203712,245612306432,1950048256,9600147472,0,-1,143104,-1,8236.03,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1142359488,245612830720,1891381248,9600147472,0,-1,36642.6,-1,2054.95,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1198982592,245612830720,1877667840,9600147472,0,-1,9891.59,-1,620.684,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1425475008,245625413632,1877524480,9600147472,0,-1,3062.45,-1,232.815,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,Snappy,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2331444672,245675745280,1886449664,9600147472,0,-1,1475.95,-1,220.743,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,6796062720,245612240896,1200021504,9600147472,0,-1,853223,-1,25530.3,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,6799601664,245612306432,1200029696,9600147472,0,-1,217895,-1,6578.96,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,6813757440,245612830720,1151352832,9600147472,0,-1,55464.7,-1,1792.13,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,6870380544,245612830720,1131978752,9600147472,0,-1,14533.7,-1,592.427,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,7096872960,245625413632,1128611840,9600147472,0,-1,4487.23,-1,183.085,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,Gdeflate,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,8002842624,245675745280,1133322240,9600147472,0,-1,1790.36,-1,103.619,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1179648,245612240896,1200021504,9600147472,0,-1,27868.4,-1,14031.1,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4718592,245612306432,750018560,9600147472,0,-1,7339.29,-1,3401.78,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,18874368,245612830720,716279808,9600147472,0,-1,2244.81,-1,851.243,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,75497472,245612830720,710795264,9600147472,0,-1,942.204,-1,218.461,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,301989888,245625413632,707809280,9600147472,0,-1,640.737,-1,58.856,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,Bitcomp,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,1207959552,245675745280,710950912,9600147472,0,-1,550.841,-1,42.6251,,,,
select_l_orderkey,SSD2GPU,200,,8,65536,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4452286464,245612240896,4189523968,9600147472,0,-1,236160,-1,15719,,,,
select_l_orderkey,SSD2GPU,200,,8,262144,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4455825408,245612306432,4040802304,9600147472,0,-1,64317.1,-1,4044.86,,,,
select_l_orderkey,SSD2GPU,200,,8,1048576,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4469981184,245612830720,4015476736,9600147472,0,-1,17363.8,-1,1177.93,,,,
select_l_orderkey,SSD2GPU,200,,8,4194304,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4526604288,245612830720,3999485952,9600147472,0,-1,5188.13,-1,361.591,,,,
select_l_orderkey,SSD2GPU,200,,8,16777216,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,4753096704,245625413632,4001468416,9600147472,0,-1,2242.71,-1,209.147,,,,
select_l_orderkey,SSD2GPU,200,,8,67108864,65536,ANS,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,5659066368,245675745280,4021428224,9600147472,0,-1,2163.57,-1,202.421,,,,
select_l_partkey,SSD2GPU,200,,8,65536,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,524288,245612240896,9600151552,9600147472,0,-1,1061.81,-1,14203.8,,,,
select_l_partkey,SSD2GPU,200,,8,262144,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2097152,245612306432,9600151552,9600147472,0,-1,1029.31,-1,3441.28,,,,
select_l_partkey,SSD2GPU,200,,8,1048576,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,8388608,245612830720,9600151552,9600147472,0,-1,1180.81,-1,849.506,,,,
select_l_partkey,SSD2GPU,200,,8,4194304,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,33554432,245612830720,9600151552,9600147472,0,-1,1130.13,-1,482.324,,,,
select_l_partkey,SSD2GPU,200,,8,16777216,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,134217728,245625413632,9600151552,9600147472,0,-1,1183.57,-1,468.044,,,,
select_l_partkey,SSD2GPU,200,,8,67108864,65536,UNCOMPRESSED,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,536870912,245675745280,9600151552,9600147472,0,-1,1121.33,-1,465.906,,,,
select_l_partkey,SSD2GPU,200,,8,65536,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2726387712,245612240896,9000161280,9600147472,0,-1,1.42491e+06,-1,80583.1,,,,
select_l_partkey,SSD2GPU,200,,8,262144,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2729926656,245612306432,8550211584,9600147472,0,-1,368921,-1,21144.4,,,,
select_l_partkey,SSD2GPU,200,,8,1048576,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2744082432,245612830720,8438169600,9600147472,0,-1,94371.6,-1,5563.82,,,,
select_l_partkey,SSD2GPU,200,,8,4194304,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,2800705536,245612830720,8410042368,9600147472,0,-1,25365.5,-1,1583.1,,,,
select_l_partkey,SSD2GPU,200,,8,16777216,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,3027197952,245625413632,8416370688,9600147472,0,-1,9049.93,-1,607.524,,,,
select_l_partkey,SSD2GPU,200,,8,67108864,65536,LZ4,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,3933167616,245675745280,8459845632,9600147472,0,-1,4964.39,-1,452.869,,,,
select_l_partkey,SSD2GPU,200,,8,65536,65536,Cascaded,natural,0,DONTPRUNE,16,0.01,8192,-,-,-1,1,42298834944,18908928,245612240896,4800086016,9600147472,0,-1,33153,-1,13973,,,,
